model,verdict,count,pct
lexical,exact,27,27.55102040816326
lexical,over,3,3.061224489795918
lexical,under,16,16.3265306122449
lexical,partial,0,0.0
lexical,miss,52,53.06122448979592
tfidf,exact,32,32.6530612244898
tfidf,over,12,12.244897959183673
tfidf,under,15,15.306122448979592
tfidf,partial,3,3.061224489795918
tfidf,miss,36,36.734693877551024
bert-base,exact,20,20.408163265306122
bert-base,over,20,20.408163265306122
bert-base,under,10,10.204081632653061
bert-base,partial,13,13.26530612244898
bert-base,miss,35,35.714285714285715
roberta,exact,6,6.122448979591836
roberta,over,0,0.0
roberta,under,8,8.16326530612245
roberta,partial,0,0.0
roberta,miss,84,85.71428571428571
scibert,exact,6,6.122448979591836
scibert,over,45,45.91836734693878
scibert,under,6,6.122448979591836
scibert,partial,13,13.26530612244898
scibert,miss,28,28.57142857142857
specter,exact,29,29.591836734693878
specter,over,14,14.285714285714285
specter,under,8,8.16326530612245
specter,partial,7,7.142857142857142
specter,miss,40,40.816326530612244
