model,mode,micro_f1,macro_f1,jaccard_samples,abs_cardinality_error,tau,delta
lexical,top1,0.40714285714285714,0.34352897633152407,0.3053691275167785,0.12080536912751683,,
lexical,threshold_delta,0.48514851485148514,0.40216303156873406,0.2516778523489933,0.40268456375838924,0.2,0.0
tfidf,top1,0.4857142857142857,0.4448851046073268,0.3724832214765101,0.12080536912751683,,
tfidf,threshold_delta,0.5425101214574899,0.5047334979189416,0.3126398210290827,0.10067114093959728,0.03,0.08
bert-base,top1,0.35,0.3410446013409238,0.26174496644295303,0.12080536912751683,,
bert-base,threshold_delta,0.35170603674540685,0.35196912577213535,0.2564397571108981,0.7986577181208054,0.75,0.01
roberta,top1,0.1,0.053308308308308315,0.06711409395973154,0.12080536912751683,,
roberta,threshold_delta,0.1,0.053308308308308315,0.06711409395973154,0.12080536912751683,0.2,0.0
scibert,top1,0.3,0.3086123249719741,0.22483221476510068,0.12080536912751683,,
scibert,threshold_delta,0.34334763948497854,0.3578241231763054,0.21131351869606904,1.3691275167785237,0.75,0.02
specter,top1,0.34285714285714286,0.36781849633845454,0.27181208053691275,0.12080536912751683,,
specter,threshold_delta,0.40514469453376206,0.3993112972237651,0.27874720357941835,0.32885906040268464,0.75,0.02
