model,pb,precision,recall,f1,support_true
lexical,PB1,0.625,0.5128205128205128,0.5633802816901409,39
lexical,PB2,0.7142857142857143,0.625,0.6666666666666666,8
lexical,PB3,0.3333333333333333,0.125,0.18181818181818182,8
lexical,PB4,0.6666666666666666,0.16666666666666666,0.26666666666666666,12
lexical,PB5,0.5,0.1111111111111111,0.18181818181818182,9
lexical,PB6,1.0,0.16666666666666666,0.2857142857142857,6
lexical,PB7,1.0,0.10526315789473684,0.19047619047619047,19
lexical,PB8,1.0,0.42857142857142855,0.6,7
lexical,PB9,0.7777777777777778,0.6086956521739131,0.6829268292682927,23
tfidf,PB1,0.7,0.358974358974359,0.4745762711864407,39
tfidf,PB2,0.4117647058823529,0.875,0.56,8
tfidf,PB3,0.6666666666666666,0.75,0.7058823529411765,8
tfidf,PB4,0.5555555555555556,0.4166666666666667,0.47619047619047616,12
tfidf,PB5,0.3333333333333333,0.2222222222222222,0.26666666666666666,9
tfidf,PB6,0.5,0.6666666666666666,0.5714285714285714,6
tfidf,PB7,0.7692307692307693,0.5263157894736842,0.625,19
tfidf,PB8,0.14285714285714285,0.14285714285714285,0.14285714285714285,7
tfidf,PB9,0.6666666666666666,0.782608695652174,0.72,23
bert-base,PB1,0.3333333333333333,0.5128205128205128,0.40404040404040403,39
bert-base,PB2,0.2,0.875,0.32558139534883723,8
bert-base,PB3,0.17857142857142858,0.625,0.2777777777777778,8
bert-base,PB4,0.5,0.3333333333333333,0.4,12
bert-base,PB5,0.375,0.3333333333333333,0.35294117647058826,9
bert-base,PB6,0.1,0.8333333333333334,0.17857142857142858,6
bert-base,PB7,0.6666666666666666,0.3157894736842105,0.42857142857142855,19
bert-base,PB8,0.0625,0.2857142857142857,0.10256410256410256,7
bert-base,PB9,0.75,0.6521739130434783,0.6976744186046512,23
roberta,PB1,0.0,0.0,0.0,39
roberta,PB2,0.175,0.875,0.2916666666666667,8
roberta,PB3,0.0,0.0,0.0,8
roberta,PB4,0.0,0.0,0.0,12
roberta,PB5,0.0,0.0,0.0,9
roberta,PB6,0.05714285714285714,1.0,0.10810810810810811,6
roberta,PB7,0.0,0.0,0.0,19
roberta,PB8,0.0,0.0,0.0,7
roberta,PB9,0.5,0.043478260869565216,0.08,23
scibert,PB1,0.2823529411764706,0.6153846153846154,0.3870967741935484,39
scibert,PB2,0.21212121212121213,0.875,0.34146341463414637,8
scibert,PB3,0.3125,0.625,0.4166666666666667,8
scibert,PB4,0.4,0.16666666666666666,0.23529411764705882,12
scibert,PB5,0.25,0.3333333333333333,0.2857142857142857,9
scibert,PB6,0.04672897196261682,0.8333333333333334,0.08849557522123894,6
scibert,PB7,0.375,0.631578947368421,0.47058823529411764,19
scibert,PB8,0.17647058823529413,0.42857142857142855,0.25,7
scibert,PB9,0.6785714285714286,0.8260869565217391,0.7450980392156863,23
specter,PB1,0.4,0.3076923076923077,0.34782608695652173,39
specter,PB2,0.23333333333333334,0.875,0.3684210526315789,8
specter,PB3,0.19047619047619047,0.5,0.27586206896551724,8
specter,PB4,0.15384615384615385,0.16666666666666666,0.16,12
specter,PB5,0.5555555555555556,0.5555555555555556,0.5555555555555556,9
specter,PB6,0.14285714285714285,0.6666666666666666,0.23529411764705882,6
specter,PB7,0.5789473684210527,0.5789473684210527,0.5789473684210527,19
specter,PB8,1.0,0.2857142857142857,0.4444444444444444,7
specter,PB9,0.5714285714285714,0.6956521739130435,0.6274509803921569,23
