reason_combo,n
abstract_too_short<500,11744
abstract_empty|language_unknown,377
duplicate_title_year,118
duplicate_doi,117
language_not_english:fr,100
abstract_too_short<500|duplicate_title_year,87
language_not_english:es,80
abstract_too_short<500|language_low_confidence:0.71,78
language_not_english:pt,48
abstract_too_short<500|language_not_english:de,44
language_low_confidence:0.57,42
language_low_confidence:0.71,41
abstract_too_short<500|language_low_confidence:0.57,39
abstract_too_short<500|language_not_english:es,37
language_low_confidence:0.55,36
abstract_too_short<500|language_low_confidence:0.55,30
abstract_too_short<500|language_not_english:fr,29
abstract_too_short<500|language_not_english:pt,26
abstract_too_short<500|language_not_english:uk,23
abstract_too_short<500|language_not_english:ru,22
language_not_english:de,20
abstract_too_short<500|language_not_english:it,19
abstract_too_short<500|duplicate_doi,17
language_not_english:it,14
language_not_english:ja,12
language_not_english:id,10
abstract_too_short<500|language_not_english:ca,9
abstract_too_short<500|language_not_english:pl,9
language_not_english:ru,9
language_not_english:ca,5
abstract_too_short<500|language_not_english:zh-cn,5
abstract_too_short<500|language_not_english:sl,5
abstract_too_short<500|language_not_english:et,4
abstract_too_short<500|language_low_confidence:0.43,4
abstract_too_short<500|language_not_english:nl,4
language_not_english:pl,4
abstract_too_short<500|language_not_english:id,4
language_not_english:sk,3
abstract_too_short<500|language_not_english:cs,3
language_not_english:sv,3
abstract_too_short<500|language_not_english:cy,3
language_not_english:vi,3
language_not_english:tr,3
abstract_too_short<500|language_not_english:mk,3
abstract_too_short<500|language_not_english:ko,3
abstract_too_short<500|language_not_english:ro,3
abstract_too_short<500|language_not_english:hr,2
abstract_too_short<500|language_not_english:ja,2
abstract_too_short<500|language_low_confidence:0.71|duplicate_title_year,2
language_not_english:ko,2
language_not_english:ar,2
language_not_english:fi,2
abstract_too_short<500|language_not_english:fi,2
abstract_too_short<500|language_not_english:vi,2
language_not_english:sl,1
language_not_english:mk,1
language_not_english:lt,1
abstract_too_short<500|language_not_english:so,1
abstract_too_short<500|language_not_english:ar,1
abstract_too_short<500|language_low_confidence:0.57|duplicate_title_year,1
abstract_too_short<500|language_not_english:lv,1
language_not_english:cs,1
abstract_too_short<500|language_low_confidence:0.63,1
language_not_english:hr,1
abstract_too_short<500|language_not_english:tl,1
abstract_too_short<500|language_not_english:no,1
abstract_too_short<500|language_not_english:tr,1
language_not_english:uk,1
language_not_english:af,1
abstract_too_short<500|language_low_confidence:0.71|duplicate_doi,1
language_not_english:ro,1
language_not_english:cy,1
abstract_too_short<500|language_not_english:sw,1
abstract_too_short<500|language_not_english:sv,1
language_low_confidence:0.62,1
